iter	Passed	Remaining
405	5202	7612
406	5214	7597
407	5224	7581
408	5235	7565
409	5247	7551
410	5259	7536
411	5269	7520
412	5279	7504
413	5291	7489
414	5301	7473
415	5314	7460
416	5325	7445
417	5338	7433
418	5350	7419
419	5362	7405
420	5373	7389
421	5383	7374
422	5395	7359
423	5406	7344
424	5417	7329
425	5430	7316
426	5441	7302
427	5453	7288
428	5464	7273
429	5476	7259
430	5487	7244
431	5498	7229
432	5510	7215
433	5520	7199
434	5531	7184
435	5541	7168
436	5552	7153
437	5562	7137
438	5572	7121
439	5583	7105
440	5593	7090
441	5603	7074
442	5615	7060
443	5628	7047
444	5639	7033
445	5652	7021
446	5664	7007
447	5677	6995
448	5688	6980
449	5699	6965
450	5711	6952
451	5723	6939
452	5735	6925
453	5747	6912
454	5758	6897
455	5768	6881
456	5779	6866
457	5789	6851
458	5800	6837
459	5830	6843
460	5852	6842
461	5873	6840
462	5926	6873
463	5952	6875
464	5980	6880
465	6006	6883
466	6032	6885
467	6058	6886
468	6072	6875
469	6091	6869
470	6109	6862
471	6159	6890
472	6184	6890
473	6209	6890
474	6233	6889
475	6264	6895
476	6286	6892
477	6318	6899
478	6345	6901
479	6375	6907
480	6395	6900
481	6416	6896
482	6441	6894
483	6467	6895
484	6489	6890
485	6511	6887
486	6534	6883
487	6549	6872
488	6565	6860
489	6579	6847
490	6593	6834
491	6606	6821
492	6620	6808
493	6632	6793
494	6647	6782
495	6660	6767
496	6670	6751
497	6682	6736
498	6693	6720
499	6705	6705
500	6716	6690
501	6729	6676
502	6750	6670
503	6763	6655
504	6776	6642
505	6788	6627
506	6802	6614
507	6814	6599
508	6825	6584
509	6837	6569
510	6852	6557
511	6863	6541
512	6876	6527
513	6887	6512
514	6898	6497
515	6910	6482
516	6923	6468
517	6935	6453
518	6947	6438
519	6960	6425
520	6976	6413
521	6988	6399
522	6999	6383
523	7009	6367
524	7020	6352
525	7032	6337
526	7044	6322
527	7056	6308
528	7069	6294
529	7080	6279
530	7093	6265
531	7106	6251
532	7117	6235
533	7127	6220
534	7138	6204
535	7148	6188
536	7159	6172
537	7169	6157
538	7180	6141
539	7191	6126
540	7201	6110
541	7212	6094
542	7222	6079
543	7233	6063
544	7244	6047
545	7254	6032
546	7266	6017
547	7277	6002
548	7290	5989
549	7303	5975
550	7315	5961
551	7329	5948
552	7341	5934
553	7352	5919
554	7365	5905
555	7380	5893
556	7392	5879
557	7406	5867
558	7420	5853
559	7431	5839
560	7443	5824
561	7457	5812
562	7470	5798
563	7485	5787
564	7502	5776
565	7513	5761
566	7524	5745
567	7534	5730
568	7544	5714
569	7555	5699
570	7565	5684
571	7576	5669
572	7589	5655
573	7600	5641
574	7612	5626
575	7624	5612
576	7637	5598
577	7649	5585
578	7661	5570
579	7672	5555
580	7683	5540
581	7694	5525
582	7705	5511
583	7716	5496
584	7729	5483
585	7741	5469
586	7754	5455
587	7765	5441
588	7782	5430
589	7805	5424
590	7861	5440
591	7894	5441
592	7921	5436
593	7945	5431
594	7958	5416
595	7970	5402
596	7984	5389
597	7999	5377
598	8013	5364
599	8028	5352
600	8042	5339
601	8057	5326
602	8071	5314
603	8086	5301
604	8099	5288
605	8115	5276
606	8128	5263
607	8142	5249
608	8155	5236
609	8169	5223
610	8182	5209
611	8193	5194
612	8205	5180
613	8216	5165
614	8230	5152
615	8244	5139
616	8258	5126
617	8270	5112
618	8281	5097
619	8294	5083
620	8306	5069
621	8318	5055
622	8330	5040
623	8342	5026
624	8354	5012
