iter	Logloss
0	0.6814375728
1	0.6702397125
2	0.6596186378
3	0.6494615563
4	0.6398141261
5	0.6306411783
6	0.6219787369
7	0.6136213783
8	0.6056212262
9	0.5981234173
10	0.5909236021
11	0.5841132453
12	0.5776517872
13	0.5715215015
14	0.5655732503
15	0.5600165964
16	0.5547036256
17	0.549541413
18	0.5447179362
19	0.540194083
20	0.5358269563
21	0.5316756426
22	0.5277500265
23	0.5239810873
24	0.5203921105
25	0.5169855572
26	0.5137127456
27	0.5105642569
28	0.5075941822
29	0.5047107198
30	0.5020736409
31	0.4995476409
32	0.4971008899
33	0.4947361438
34	0.4925313871
35	0.4904038779
36	0.4883464844
37	0.4863433992
38	0.4844582744
39	0.482659285
40	0.4810091682
41	0.4794122866
42	0.4779163975
43	0.4764340614
44	0.4750524799
45	0.4737555239
46	0.4725313883
47	0.4713002191
48	0.470177254
49	0.4690841174
50	0.4680229159
51	0.4670636833
52	0.4661030915
53	0.4651950316
54	0.4642753652
55	0.4633567779
56	0.4625030441
57	0.4617795235
58	0.4610163115
59	0.460344223
60	0.4596016813
61	0.4589432016
62	0.4582613935
63	0.4575907622
64	0.4570277099
65	0.4565354242
66	0.4559824018
67	0.4554782494
68	0.4549470713
69	0.4544482736
70	0.4540150926
71	0.4535685291
72	0.4531934008
73	0.4527669039
74	0.4523349297
75	0.4519319102
76	0.4515507147
77	0.4512402688
78	0.4509186191
79	0.4506072235
80	0.4503181844
81	0.4500159867
82	0.4496919889
83	0.4493956976
84	0.4491431915
85	0.4488703614
86	0.448682308
87	0.4484037545
88	0.4481962734
89	0.4479779014
90	0.4477311185
91	0.4475285507
92	0.4473354312
93	0.44709808
94	0.4468871026
95	0.4466423062
96	0.4463945915
97	0.4461741921
98	0.4459271478
99	0.4457088767
100	0.4455528361
101	0.4454037518
102	0.4452659683
103	0.4451159691
104	0.4449014389
105	0.44473686
106	0.4445879767
107	0.4444781197
108	0.4443486315
109	0.444196091
110	0.4440528305
111	0.4438786892
112	0.4436688559
113	0.4435499737
114	0.4434182131
115	0.4432967608
116	0.4431760268
117	0.4430675212
118	0.4429145413
119	0.4427468262
120	0.4426031388
121	0.4424989861
122	0.4422296798
123	0.4421162856
124	0.4419651137
125	0.4418553922
126	0.4417131483
127	0.4416009797
128	0.4414583539
129	0.441364092
130	0.4412580417
131	0.4411218883
132	0.4410517071
133	0.4409218763
134	0.4407405939
135	0.4406698499
136	0.4405425933
137	0.4404536247
138	0.440366799
139	0.4402823896
140	0.4401202072
141	0.4400345208
